sector,symbol,yf_ticker
Financial Services,360ONE,360ONE.NS
Diversified,3MINDIA,3MINDIA.NS
Capital Goods,ABB,ABB.NS
Construction Materials,ACC,ACC.NS
Power,ACMESOLAR,ACMESOLAR.NS
Capital Goods,AIAENG,AIAENG.NS
Capital Goods,APLAPOLLO,APLAPOLLO.NS
Financial Services,AUBANK,AUBANK.NS
Fast Moving Consumer Goods,AWL,AWL.NS
Financial Services,AADHARHFC,AADHARHFC.NS
Chemicals,AARTIIND,AARTIIND.NS
Financial Services,AAVAS,AAVAS.NS
Healthcare,ABBOTINDIA,ABBOTINDIA.NS
Capital Goods,ACE,ACE.NS
Healthcare,ACUTAAS,ACUTAAS.NS
Power,ADANIENSOL,ADANIENSOL.NS
Metals & Mining,ADANIENT,ADANIENT.NS
Power,ADANIGREEN,ADANIGREEN.NS
Services,ADANIPORTS,ADANIPORTS.NS
Power,ADANIPOWER,ADANIPOWER.NS
Oil Gas & Consumable Fuels,ATGL,ATGL.NS
Financial Services,ABCAPITAL,ABCAPITAL.NS
Consumer Services,ABFRL,ABFRL.NS
Consumer Services,ABLBL,ABLBL.NS
Realty,ABREL,ABREL.NS
Financial Services,ABSLAMC,ABSLAMC.NS
Capital Goods,CPPLUS,CPPLUS.NS
Oil Gas & Consumable Fuels,AEGISLOG,AEGISLOG.NS
Oil Gas & Consumable Fuels,AEGISVOPAK,AEGISVOPAK.NS
Construction,AFCONS,AFCONS.NS
Information Technology,AFFLE,AFFLE.NS
Healthcare,AJANTPHARM,AJANTPHARM.NS
Healthcare,ALKEM,ALKEM.NS
Fast Moving Consumer Goods,ABDL,ABDL.NS
Automobile and Auto Components,ARE&M,ARE&M.NS
Consumer Durables,AMBER,AMBER.NS
Construction Materials,AMBUJACEM,AMBUJACEM.NS
Financial Services,ANANDRATHI,ANANDRATHI.NS
Realty,ANANTRAJ,ANANTRAJ.NS
Financial Services,ANGELONE,ANGELONE.NS
Healthcare,ANTHEM,ANTHEM.NS
Chemicals,ANURAS,ANURAS.NS
Capital Goods,APARINDS,APARINDS.NS
Healthcare,APOLLOHOSP,APOLLOHOSP.NS
Automobile and Auto Components,APOLLOTYRE,APOLLOTYRE.NS
Financial Services,APTUS,APTUS.NS
Automobile and Auto Components,ASAHIINDIA,ASAHIINDIA.NS
Capital Goods,ASHOKLEY,ASHOKLEY.NS
Consumer Durables,ASIANPAINT,ASIANPAINT.NS
Healthcare,ASTERDM,ASTERDM.NS
Capital Goods,ASTRAL,ASTRAL.NS
Automobile and Auto Components,ATHERENERG,ATHERENERG.NS
Chemicals,ATUL,ATUL.NS
Healthcare,AUROPHARMA,AUROPHARMA.NS
Financial Services,AIIL,AIIL.NS
Consumer Services,DMART,DMART.NS
Financial Services,AXISBANK,AXISBANK.NS
Capital Goods,BEML,BEML.NS
Consumer Services,BLS,BLS.NS
Financial Services,BSE,BSE.NS
Automobile and Auto Components,BAJAJ-AUTO,BAJAJ-AUTO.NS
Financial Services,BAJFINANCE,BAJFINANCE.NS
Financial Services,BAJAJFINSV,BAJAJFINSV.NS
Financial Services,BAJAJHLDNG,BAJAJHLDNG.NS
Financial Services,BAJAJHFL,BAJAJHFL.NS
Automobile and Auto Components,BALKRISIND,BALKRISIND.NS
Fast Moving Consumer Goods,BALRAMCHIN,BALRAMCHIN.NS
Financial Services,BANDHANBNK,BANDHANBNK.NS
Financial Services,BANKBARODA,BANKBARODA.NS
Financial Services,BANKINDIA,BANKINDIA.NS
Financial Services,MAHABANK,MAHABANK.NS
Consumer Durables,BATAINDIA,BATAINDIA.NS
Chemicals,BAYERCROP,BAYERCROP.NS
Automobile and Auto Components,BELRISE,BELRISE.NS
Consumer Durables,BERGEPAINT,BERGEPAINT.NS
Capital Goods,BDL,BDL.NS
Capital Goods,BEL,BEL.NS
Automobile and Auto Components,BHARATFORG,BHARATFORG.NS
Capital Goods,BHEL,BHEL.NS
Oil Gas & Consumable Fuels,BPCL,BPCL.NS
Telecommunication,BHARTIARTL,BHARTIARTL.NS
Telecommunication,BHARTIHEXA,BHARTIHEXA.NS
Fast Moving Consumer Goods,BIKAJI,BIKAJI.NS
Financial Services,GROWW,GROWW.NS
Healthcare,BIOCON,BIOCON.NS
Information Technology,BSOFT,BSOFT.NS
Services,BLUEDART,BLUEDART.NS
Healthcare,BLUEJET,BLUEJET.NS
Consumer Durables,BLUESTARCO,BLUESTARCO.NS
Fast Moving Consumer Goods,BBTC,BBTC.NS
Automobile and Auto Components,BOSCHLTD,BOSCHLTD.NS
Consumer Services,FIRSTCRY,FIRSTCRY.NS
Realty,BRIGADE,BRIGADE.NS
Fast Moving Consumer Goods,BRITANNIA,BRITANNIA.NS
Information Technology,MAPMYINDIA,MAPMYINDIA.NS
Fast Moving Consumer Goods,CCL,CCL.NS
Power,CESC,CESC.NS
Capital Goods,CGPOWER,CGPOWER.NS
Automobile and Auto Components,CIEINDIA,CIEINDIA.NS
Financial Services,CRISIL,CRISIL.NS
Financial Services,CANFINHOME,CANFINHOME.NS
Financial Services,CANBK,CANBK.NS
Financial Services,CANHLIFE,CANHLIFE.NS
Healthcare,CAPLIPOINT,CAPLIPOINT.NS
Financial Services,CGCL,CGCL.NS
Capital Goods,CARBORUNIV,CARBORUNIV.NS
Consumer Services,CARTRADE,CARTRADE.NS
Oil Gas & Consumable Fuels,CASTROLIND,CASTROLIND.NS
Automobile and Auto Components,CEATLTD,CEATLTD.NS
Construction,CEMPRO,CEMPRO.NS
Financial Services,CENTRALBK,CENTRALBK.NS
Financial Services,CDSL,CDSL.NS
Consumer Services,CHALET,CHALET.NS
Chemicals,CHAMBLFERT,CHAMBLFERT.NS
Oil Gas & Consumable Fuels,CHENNPETRO,CHENNPETRO.NS
Financial Services,CHOICEIN,CHOICEIN.NS
Financial Services,CHOLAHLDNG,CHOLAHLDNG.NS
Financial Services,CHOLAFIN,CHOLAFIN.NS
Healthcare,CIPLA,CIPLA.NS
Financial Services,CUB,CUB.NS
Chemicals,CLEAN,CLEAN.NS
Oil Gas & Consumable Fuels,COALINDIA,COALINDIA.NS
Capital Goods,COCHINSHIP,COCHINSHIP.NS
Information Technology,COFORGE,COFORGE.NS
Healthcare,COHANCE,COHANCE.NS
Fast Moving Consumer Goods,COLPAL,COLPAL.NS
Financial Services,CAMS,CAMS.NS
Healthcare,CONCORDBIO,CONCORDBIO.NS
Services,CONCOR,CONCOR.NS
Chemicals,COROMANDEL,COROMANDEL.NS
Automobile and Auto Components,CRAFTSMAN,CRAFTSMAN.NS
Financial Services,CREDITACC,CREDITACC.NS
Consumer Durables,CROMPTON,CROMPTON.NS
Capital Goods,CUMMINSIND,CUMMINSIND.NS
Information Technology,CYIENT,CYIENT.NS
Diversified,DCMSHRIRAM,DCMSHRIRAM.NS
Realty,DLF,DLF.NS
Fast Moving Consumer Goods,DOMS,DOMS.NS
Fast Moving Consumer Goods,DABUR,DABUR.NS
Construction Materials,DALBHARAT,DALBHARAT.NS
Capital Goods,DATAPATTNS,DATAPATTNS.NS
Chemicals,DEEPAKFERT,DEEPAKFERT.NS
Chemicals,DEEPAKNTR,DEEPAKNTR.NS
Services,DELHIVERY,DELHIVERY.NS
Consumer Services,DEVYANI,DEVYANI.NS
Healthcare,DIVISLAB,DIVISLAB.NS
Consumer Durables,DIXON,DIXON.NS
Healthcare,LALPATHLAB,LALPATHLAB.NS
Healthcare,DRREDDY,DRREDDY.NS
Fast Moving Consumer Goods,EIDPARRY,EIDPARRY.NS
Consumer Services,EIHOTEL,EIHOTEL.NS
Automobile and Auto Components,EICHERMOT,EICHERMOT.NS
Capital Goods,ELECON,ELECON.NS
Capital Goods,ELGIEQUIP,ELGIEQUIP.NS
Fast Moving Consumer Goods,EMAMILTD,EMAMILTD.NS
